Question;Answer
What are office hours?;Office hours are 08:00 to 16:30.
Who is my supervisor?;Contact your manager for supervisor details.
How do I apply for leave?;Complete the leave form and submit it to your supervisor.
What should I do if I am sick?;Inform your supervisor as soon as possible.
How do I report absence?;Notify your supervisor before work starts.
How do I request stationery?;Submit a stationery request through the office procedure.
Who do I contact for ICT support?;Contact the ICT Helpdesk.
How do I reset my password?;Contact ICT support for assistance.
What should I do if my laptop stops working?;Report the issue to ICT support.
How do I access my email?;Use your departmental credentials.
What should I wear at work?;Follow the department's dress code policy.
When are tea and lunch breaks?;Follow your department schedule.
How do I submit my logbook?;Submit it to your supervisor.
How often should I meet my supervisor?;As arranged by your supervisor.
How do I submit internship reports?;Submit them through the required process.
Can I work remotely?;Follow departmental policy.
What do I do if I forget my access card?;Report to security.
How do I book a meeting room?;Contact administration.
Where can I find department policies?;Ask your supervisor or HR.
Who do I contact for HR matters?;Contact the HR office.
